"","Text","Retweets","Favorited"
"1","Me watching this commercial about the sea #carnival http://t.co/A3wgL1CSJK","0","FALSE"
"2","Like any good Massachusetts household, from ruckus to complete silence during the commercial with JFK's voice.","0","FALSE"
"3","Every one cares about the game but I'm still hyped about that Jurassic park commercial","0","FALSE"
"4","@CarnivalPLC commercial FTW","0","FALSE"
"5","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"6","The truck commercial that was like ""what would you do if your tv went out?"" Was the best commercial yet!","0","FALSE"
"7","RT @tgod_jesus: That commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","2","FALSE"
"8","That skittles commercial was horrifying..... #SuperBowlLiveTweet","0","FALSE"
"9","Brady bunch snickers commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> great #HCCDECASC  #SBDECA","0","FALSE"
"10","RT @StitchYT: Omg that commercial","8","FALSE"
"11","That skittles commercial though <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>","0","FALSE"
"12","Right arm skittle commercial not bad","0","FALSE"
"13","skittles big one arm commercial...a little freaky.","0","FALSE"
"14","Love the #CarnivalCruise commercial 
We are all a part of the Sea","0","FALSE"
"15","That skittles commercial. #what","0","FALSE"
"16","SUPER BOWL commercial time... Let's see what the marketing geniuses been up to all year! #SuperBowlXLIX","1","FALSE"
"17","Just got home from #CarnivalSunshine last night so that @CarnivalPLC commercial was my favorite so far!! :)","0","FALSE"
"18","That Skittles commercial tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"19","bruh dat skittles commercial","0","FALSE"
"20","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"21","Haha that was the best commercial so far #skittles","0","FALSE"
"22","that skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","1","FALSE"
"23","WHAT THE FUCK IS THIS SKITTLES COMMERCIAL","0","FALSE"
"24","Commercial full of niggas that hack off with the right","0","FALSE"
"25","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
